"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 14:32:56 MSK 2023","Tue Aug 15 14:33:01 MSK 2023","5661","","test_jne","Test_open_foto_passport","","","Открытие фото паспорта из файла",""
"passed","Tue Aug 15 14:24:19 MSK 2023","Tue Aug 15 14:24:19 MSK 2023","485","","test_jne","Test_Main_PM_Window","","","Кнопка расширенного поика",""
"passed","Tue Aug 15 14:24:23 MSK 2023","Tue Aug 15 14:24:23 MSK 2023","656","","test_jne","Test_Main_PM_Window","","","Поиск кнопки в Трее",""
"passed","Tue Aug 15 14:17:29 MSK 2023","Tue Aug 15 14:17:34 MSK 2023","5497","","test_jne","Test_check_run_configurator_for_check_windows","","","Переход на вкладку Fix tools",""
"passed","Tue Aug 15 14:24:24 MSK 2023","Tue Aug 15 14:24:25 MSK 2023","664","","test_jne","Test_Main_PM_Window","","","Подтверждение закрытия ПМ",""
"passed","Tue Aug 15 14:20:19 MSK 2023","Tue Aug 15 14:20:20 MSK 2023","648","","test_jne","Test_Close_PM_Tray","","","Нажатие на кнопку в трее",""
"passed","Tue Aug 15 14:27:36 MSK 2023","Tue Aug 15 14:27:54 MSK 2023","17670","","test_jne","Test_check_id_reservation","","","Поиск поиск поля: Заезд с",""
"passed","Tue Aug 15 14:17:22 MSK 2023","Tue Aug 15 14:17:28 MSK 2023","5946","","test_jne","Test_check_run_configurator_for_check_windows","","","развернуть Exports",""
"passed","Tue Aug 15 14:16:17 MSK 2023","Tue Aug 15 14:16:25 MSK 2023","7634","","test_jne","Test_check_run_configurator_for_check_windows","","","Запуск конфигуратора",""
"passed","Tue Aug 15 14:18:00 MSK 2023","Tue Aug 15 14:18:00 MSK 2023","792","","test_jne","Test_change_ip_configurator","","","Иконка main hotell",""
"passed","Tue Aug 15 14:18:04 MSK 2023","Tue Aug 15 14:18:05 MSK 2023","610","","test_jne","Test_change_ip_configurator","","","Кнопка сохранить ip в конфигураторе",""
"passed","Tue Aug 15 14:24:17 MSK 2023","Tue Aug 15 14:24:18 MSK 2023","684","","test_jne","Test_Main_PM_Window","","","Кнопка максимайз",""
"passed","Tue Aug 15 14:24:21 MSK 2023","Tue Aug 15 14:24:21 MSK 2023","475","","test_jne","Test_Main_PM_Window","","","Слово бронь и чекбокс Подтвердить",""
